구분명,행사명,행사내용,장소명,담당부서명,행사시작일자,행사종료일자,데이터기준일자
행사,전통시장 투어,영천공설시장 및 관광지 투어,영천공설시장,관광진흥과,2019-07-02,2019-07-02,2022-11-28
행사,제13회 경북지적발달장애인 복지대회 개최,제14회 경북지적발달장애인 자기권리 주장대회,교육문화센터,사회복지과,2019-07-04,2019-07-04,2022-11-28
행사,제13회 경북지적발달장애인 복지대회 개최,제15회 경북지적발달장애인의 날 기념식,교육문화센터,사회복지과,2019-07-04,2019-07-04,2022-11-28
행사,The(더) 공감 인문학 7월 강좌 개강,"유학, 사람의 길 네 걸음(매주 금요일)",교육문화센터 회의실,문화예술과,2019-07-05,2019-07-26,2022-11-28
축제,이통장 워크숍 및 한마음 체육대회,노래자랑,영천체육관,총무과,2019-07-06,2019-07-06,2022-11-28
축제,이통장 워크숍 및 한마음 체육대회,체육경기,영천체육관,총무과,2019-07-06,2019-07-06,2022-11-28
축제,이통장 워크숍 및 한마음 체육대회,이통장 유공자 포상,영천체육관,총무과,2019-07-06,2019-07-06,2022-11-28
축제,이통장 워크숍 및 한마음 체육대회,워크숍(웃음특강),영천체육관,총무과,2019-07-06,2019-07-06,2022-11-28
축제,뚝딱하니 어흥!,체험형 전래동화 뮤지컬,시민회관 스타홀,문화예술과,2019-07-06,2019-07-06,2022-11-28
행사,청소년지원센터 꿈드림 아웃리치 활동,청소년전화 1388 홍보,영천여중 교문 앞,가족행복과,2019-07-09,2019-07-09,2022-11-28
행사,청소년지원센터 꿈드림 아웃리치 활동,학업중단숙려제 홍보,영천여중 교문 앞,가족행복과,2019-07-09,2019-07-09,2022-11-28
기타,(사)대한노인회 영천시지회 부설 노인대학 특강,노인대학 특강,영천시종합복지센터 1층 강당,사회복지과,2019-07-09,2019-07-09,2022-11-28
기타,(사)대한노인회 영천시지회 부설 노인대학 특강,노인대학 특강,영천시종합복지센터 1층 강당,사회복지과,2019-07-12,2019-07-12,2022-11-28
행사,경북 7월의 독립운동가 이진영이원대 강연회,기념식,시립도서관 지산홀,복지정책과,2019-07-09,2019-07-09,2022-11-28
행사,경북 7월의 독립운동가 이진영이원대 강연회,"2부 이달의 독립운동가(이진영,이원대) 강연",시립도서관 지산홀,복지정책과,2019-07-09,2019-07-09,2022-11-28
행사,2019년 시민행복아카데미 7월 특강 개최,긍정적인 삶과 웃음,교육문화센터 우석홀,평생학습관,2019-07-10,2019-07-10,2022-11-28
행사,찾아가는자원봉사교육,자원봉사교육 및 손마사지 교육,영천성남여자고등학교 체육관,새마을체육과,2019-07-12,2019-07-12,2022-11-28
행사,6대 암 건강강좌,암 검진! 건강할 때 미리미리,영천시민회관,영천시보건소,2019-07-08,2019-07-08,2022-11-28
행사,6대 암 건강강좌,"우리 마을주민 방문건강관리, 이렇게!",영천시민회관,영천시보건소,2019-07-08,2019-07-08,2022-11-28
행사,제19회 화목한 가정만들기 실천개회 개최,특강 및 식전공연,교육문화회관 우석홀,새마을체육과,2019-07-16,2019-07-16,2022-11-28
행사,제19회 화목한 가정만들기 실천개회 개최,의식행사,교육문화회관 우석홀,새마을체육과,2019-07-16,2019-07-16,2022-11-28
