이름,주소,위도,경도,읍면동,테마
맞춤형 취업능력향상 교육프로그램 실시,영천지역자활센터 1층 교육장,,,,행사/축제
가정용 가스보일러 합동 안전점검 실시,소회의실,,,,행사/축제
농촌지도자회 정기총회,농업기술센터 생활과학관,,,,행사/축제
시민회관 시민문화교실 개강(민요반),시민회관(리허설실),,,,행사/축제
도서관에서 하룻밤,시립도서관,,,,행사/축제
겨울방학 영화상영,시립도서관 내,,,,행사/축제
시민,시민회관,,,,행사/축제
청소년 어울림 마당,시민회관,,,,행사/축제
M댄스 아카데미,시민회관,,,,행사/축제
여성 신년 인사회 개최,스타컨벤션웨딩 지하,,,,행사/축제
자원봉사센터 정기총회 및 이사회,다나눔센터1층 회의실(영천고2길 57),,,,행사/축제
명작동화 클래식 음악회,시민회관 스타홀,,,,행사/축제
영천아리랑 연구보존회 경로당 순회공연,화남노인복지센터,,,,행사/축제
영천아리랑 연구보존회 경로당 순회공연,금호읍 양남리 경로당,,,금호읍,행사/축제
영천아리랑 연구보존회 경로당 순회공연,구암리 경로당,,,,행사/축제
장애인인식개선 교육 및 후원회 발대식,스타컨벤션웨딩 3층,,,,행사/축제
재향군인회 정기총회,향군회관 대회의실(지하),,,,행사/축제
영화상영 <보스베이비>,지산홀,,,,행사/축제
농업기술자협회 교육 및 총회,농업인회관 2층 교육장,,,,행사/축제
2019 나눔의 파발마 발대식,대회의실(시청별관 3층),,,,행사/축제
시니어클럽 영천로타리클럽간MOU,시청 영상회의실,,,,행사/축제
영천관광 사진공모전 입상작품 전시,영천역 대합실,,,,행사/축제
2019년 초등 학생 해외 어학연수 수료식,시립도서관 지산홀,,,,행사/축제
2019년 중학생 해외 어학연수 수료식,시립도서관 지산홀,,,,행사/축제
2019 영천시체육회 이사회,대회의실(시청별관 3층),,,,행사/축제
영천농부장터2019설맞이 이벤트 행사,영천휴게소(상행선) 영천농부장터,,,,행사/축제
「PMC:더벙커」영화상영,시민회관 스타홀,,,,행사/축제
우리음식연구회 연시총회,농업인회관 2층 세미나실,,,,행사/축제
주·정차 문자 알림서비스 실시,고정형 CCTV 단속지역,,,,행사/축제
한국자유총연맹 여성회 후원 윷놀이 대회,영천시장애인종합복지관 3층 대강당,,,,행사/축제
