,ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
26229,KCLANPO23N000026230,장소,관광지,20125209,영천한의마을,,,60516,관광농원/허브마을,4723011000200430000,경상북도,영천시,화룡동,,산43,4723011000,4723053500,472303018036.0,천문로,485,128.9219959,35.97746597,마마282765,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
26785,KCLANPO23N000026786,장소,관광지,20151668,운주산승마자연휴양림야영장,,,60520,캠핑장,4723037026200090000,경상북도,영천시,임고면,황강리,산9,4723037026,4723037000,472304730380.0,승마휴양림길,105,129.0000819,36.04117482,마마351837,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
28054,KCLANPO23N000028055,장소,관광지,20393515,영천곰탕골목,,,60517,먹거리/패션거리,4723011300109820003,경상북도,영천시,완산동,,982-3,4723011300,4723054000,472304730384.0,시장4길,52,128.9385267,35.96420447,마마297751,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
30263,KCLANPO23N000030264,장소,관광지,20632850,영천보현산약초식물원,,,60511,식물원,4723034029200760001,경상북도,영천시,화북면,정각리,산76-1,4723034029,4723034000,472304730245.0,배나무정길,344,128.9796991,36.14138719,마마331948,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
31862,KCLANPO23N000031863,장소,관광지,20727701,임고선원강변캠핑장,,,60520,캠핑장,4723037022109090119,경상북도,영천시,임고면,선원리,909-119,4723037022,4723037000,472303018008.0,포은로,580,128.9742134,36.02769761,마마328822,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
32295,KCLANPO23N000032296,장소,관광지,20739820,영천한우숯불단지,,,60517,먹거리/패션거리,4723012600105640003,경상북도,영천시,도남동,,564-3,4723012600,4723055500,,,,128.9369229,35.93585118,마마296719,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
34700,KCLANPO23N000034701,장소,관광지,20871645,전국영어한마당축제,,,60523,지역축제,4723010900101400000,경상북도,영천시,성내동,,140,4723010900,4723053500,472303310025.0,최무선로,241,128.9263752,35.96519868,마마286752,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
35017,KCLANPO23N000035018,장소,관광지,20882804,오리장림관광농원자동차야영장,,,60520,캠핑장,4723034021122120000,경상북도,영천시,화북면,자천리,2212,4723034021,4723034000,472303018036.0,천문로,2118,128.9117374,36.10059368,마마270902,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
37560,KCLANPO23N000037561,장소,관광지,21085769,약전거리,,,60517,먹거리/패션거리,4723011300109320001,경상북도,영천시,완산동,,932-1,4723011300,4723054000,,,,128.9390404,35.96020362,마마297746,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
37764,KCLANPO23N000037765,장소,관광지,21085984,영천공설시장곰탕골목,,,60517,먹거리/패션거리,4723011300109820003,경상북도,영천시,완산동,,982-3,4723011300,4723054000,472304730384.0,시장4길,52,128.9385196,35.96429209,마마297751,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
40738,KCLANPO23N000040739,장소,관광지,21712312,화랑설화마을,,,60513,일반관광지,4723025041100280001,경상북도,영천시,금호읍,황정리,28-1,4723025041,4723025000,,,,128.921895,35.92652942,마마282709,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
40741,KCLANPO23N000040742,장소,관광지,21713067,영천아우노펠리스글램핑,,,60520,캠핑장,4723012800108010000,경상북도,영천시,언하동,,801,4723012800,4723051000,472304730313.0,상신기길,150,128.9564501,36.00350872,마마312795,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
41301,KCLANPO23N000041302,장소,관광지,21801342,별밤글램핑,,,60520,캠핑장,4723037025100060003,경상북도,영천시,임고면,평천리,6-3,4723037025,4723037000,472303018008.0,포은로,814,128.9882094,36.04526873,마마340841,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
41796,KCLANPO23N000041797,장소,관광지,21875288,은해로운캠핑장,,,60520,캠핑장,4723031030102910001,경상북도,영천시,청통면,치일리,291-1,4723031030,4723031000,472303309017.0,대동로,423,128.8003099,35.99077569,마마172778,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
45449,KCLANPO23N000045450,장소,관광지,22299254,영천한의마을한옥체험관,,,60518,팜스테이,4723011000101300001,경상북도,영천시,화룡동,,130-1,4723011000,4723053500,,,,128.9211925,35.97761261,마마281765,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
46420,KCLANPO23N000046421,장소,관광지,22423616,보현산자연휴양림,,,60503,휴양림/수목원,4723034023200490000,경상북도,영천시,화북면,입석리,산49,4723034023,4723034000,472304730245.0,배나무정길,334,128.9779601,36.14237064,마마329949,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
46547,KCLANPO23N000046548,장소,관광지,22442354,두드림캠핑장,,,60520,캠핑장,4723031026105260001,경상북도,영천시,청통면,죽정리,526-1,4723031026,4723031000,472304730072.0,구정길,53-77,128.8266055,35.9795523,마마195766,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
47150,KCLANPO23N000047151,장소,관광지,22501648,송곡서원,,,60609,서원/향교/서당,4723031031102270003,경상북도,영천시,청통면,애련리,227-3,4723031031,4723031000,,,,128.8029451,36.00031153,마마174789,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
47204,KCLANPO23N000047205,장소,관광지,22509315,창대서원,,,60609,서원/향교/서당,4723010800100100000,경상북도,영천시,과전동,,10,4723010800,4723052000,472304730630.0,창대서원1길,9-18,128.930645,35.96560211,마마290752,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
47206,KCLANPO23N000047207,장소,관광지,22509411,완귀정,,,60603,유명사적/유적지,4723012600105950000,경상북도,영천시,도남동,,595,4723012600,4723055500,472304730332.0,서당길,25-34,128.9350576,35.93640043,마마294720,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
47897,KCLANPO23N000047898,장소,관광지,22603373,영천작약꽃축제,,,60523,지역축제,4723035027200030002,경상북도,영천시,화남면,삼창리,산3-2,4723035027,4723035000,472303018036.0,천문로,1771-24,128.9005852,36.07238139,마마261870,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
47904,KCLANPO23N000047905,장소,관광지,22604403,채송화글램핑장,,,60520,캠핑장,4723034021122120000,경상북도,영천시,화북면,자천리,2212,4723034021,4723034000,472303018036.0,천문로,2118,128.9118086,36.10067362,마마270902,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
49227,KCLANPO23N000049228,장소,관광지,22861823,천문대별빛정원,,,60520,캠핑장,4723034029100190000,경상북도,영천시,화북면,정각리,19,4723034029,4723034000,472304730586.0,정각길,150,128.9966758,36.15094354,마마346959,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
50535,KCLANPO23N000050536,장소,관광지,23048731,별밤캠프,,,60520,캠핑장,4723034021123190000,경상북도,영천시,화북면,자천리,2319,4723034021,4723034000,472303018036.0,천문로,2149-127,128.9054264,36.11156344,마마264914,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
50630,KCLANPO23N000050631,장소,관광지,23058509,삼밭골글램핑,,,60506,야영장,4723010300106190003,경상북도,영천시,야사동,,619-3,4723010300,4723051000,472304730294.0,삼밭골길,107,128.9396389,35.98931059,마마297779,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
50845,KCLANPO23N000050846,장소,관광지,23093926,캠프공존,,,60520,캠핑장,4723025038103980000,경상북도,영천시,금호읍,신대리,398,4723025038,4723025000,472304730002.0,가라골1길,90,128.8611801,35.92087256,마마228702,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
50962,KCLANPO23N000050963,장소,관광지,23109715,자호천생태학교,,,60520,캠핑장,4723036026108030000,경상북도,영천시,자양면,신방리,803,4723036026,4723036000,472303309040.0,신방로,626,129.0731545,36.06653173,마마416866,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
